item_code,item_label,refuse,hdds,item_grp,fd_pro,fd_fat,fd_fib,fd_alc,fd_carb,Kcal
111101,Rice,0,1,1,6.9,0.6,1.4,0,78.3,349
111102,Malt/ Mealie Rice,0,1,1,4,0.34,1.8,0,91.86,390.1
111201,"Bread (white, brown, whole wheat, rye, maize, etc.)",0,1,1,8.4,1.8,3.1,0,48.3,249.2
111202,Brotchen,0,1,1,9.1,2.7,2.7,0,49.5,264.1
111203,"Biscuits, rusks",0,1,1,9.1,2.7,2.7,0,49.5,264.1
111204,Vetkoek,0,1,1,9.1,2.7,2.7,0,49.5,264.1
111209,"Traditional bread, ash bread, oshikwiila, oshima, omungome",0,1,1,9.1,2.7,2.7,0,49.5,264.1
111301,"Macaroni, spaghetti, noodles",0,1,1,5.4,0.7,1.6,0,31.3,156.3
111401,Cakes (all types),0,1,1,2.9,9.1,2.4,0,59.3,335.5
111402,Pies & pizzas,0,1,1,3.41,28.69,1.4,0,57.12,503.13
111501,Breakfast cereals (all types),0,1,1,0.77,0.1,1.1,0,7.84,37.54
111502,"Baby foods, cereals",0,1,1,17.6,19.7,0,0,56.1,472.1
111503,Bread/ cake flour (all types),0,1,1,7.6,11.3,1.2,0,28.2,247.3
111504,Maize meal/ grain/ samp,0,1,1,8.5,4,1.5,0,71.5,359
111505,Mahangu meal/ grain/ samp,0,1,1,8.8,5.8,9,0,64.8,364.6
111506,Sorghum meal/ grain,0,1,1,10.5,3.3,9.9,0,63,343.5
111507,Cassava flour,0,1,1,1.9,0.5,3.9,0,78.8,335.1
111901,Other bread & cereals (specify),25,1,1,21.81,2.93,0,0,0,113.61
112101,Beef,0,5,12,18.4,18,0,0,0,235.6
112201,Pork,0,5,12,12.3,38.8,0,0,1.1,402.8
112301,Goat meat,26,5,12,17.5,10.6,0,0,2.8,176.6
112302,Mutton/ Lamb,25,5,12,24.6,25.2,0,0,1.2,330
112401,Chicken,0,5,12,20.4,5.9,0,0,0,134.7
112402,"Birds, other than chicken",0,5,12,27.37,10.4,0,0,0,203.08
112501,Bacon,0,5,12,12.3,38.8,0,0,1.1,402.8
112502,Ham,0,5,12,16.5,10.3,0,0,4.2,175.5
112503,Biltong,0,5,12,21.7,4.3,0,0,0,125.5
112504,"Smoked meat, other than bacon & ham",0,5,12,10.5,19.4,0,0,2.6,227
112505,Polony,0,5,12,19.33,19.06,0,0,0,248.86
112506,"Sausages, other than polony",0,5,12,10.5,19.4,0,0,2.6,227
112507,"Offals, meat waste",0,5,12,12.1,3.7,0,0,0,81.7
112508,Liver & kidneys,0,5,12,19.4,4.4,0,0,3.9,132.8
112601,Minced meat,0,5,12,20.1,10,0,0,0,170.4
112602,Canned meat,0,5,12,27.1,14.9,0,0,0,242.5
112701,Game/ Iguana,0,5,12,22.96,2.42,0,0,0,113.62
112702,Dog,0,5,12,12.3,38.8,0,0,1.1,402.8
112703,Donkey,0,5,12,21.39,4.6,0,0,0.39,128.52
112704,Tortoise,0,5,12,16.4,0.3,0,0,0,68.3
112801,"Worms (omaungu, omanghandja, omaenghowa, murere, … etc.)",0,5,12,14.1,3.6,2.6,0,0.7,96.8
112999,Other meat (specify),0,5,12,66.7,7,0,0,0,329.8
113101,Fresh fish,45,7,14,18.8,2.7,0,0,0.3,100.7
113102,Frozen fish,29,7,14,19.7,5,0,0,1.4,129.4
113201,"Cray fish, all types",0,7,14,15.97,0.95,0,0,0,72.43
113202,"Snails, crabs",0,7,14,23.72,1.51,0,0,0,108.47
113203,Frogs,0,7,14,16.4,0.3,0,0,0,68.3
113301,Smoked fish,0,7,14,25.23,0.96,0,0,0.71,112.4
113302,Kapenta/ Eentangu (fresh),48,7,14,19.4,2.9,0,0,0.3,104.9
113303,Dried fish,0,7,14,62.44,13.44,0,0,0,370.72
113401,Bottled/ Tinned fish,0,7,14,24.7,13.5,0,0,0.4,221.9
113999,Other amphibians (specify),0,7,14,16.4,0.3,0,0,0,68.3
114101,Fresh milk,0,9,15,3.4,3.7,0,0,4.4,64.5
114102,Long life milk,0,9,15,3.4,3.7,0,0,4.4,64.5
114199,Other dairy products (specify),0,9,15,3.3,3.2,0.5,0,11.4,88.6
114201,Fresh milk - Low fat,0,9,15,3.5,1.6,0,0,4.8,47.6
114202,Long life - Low fat,0,9,15,3.5,0.5,0,0,4.7,37.3
114301,Condensed milk,0,9,15,7.9,8.7,0,0,54.4,327.5
114302,Powdered milk,0,9,15,36.2,0.8,0,0,51.9,359.6
114303,Coffee creamer,0,9,15,36.2,0.8,0,0,51.9,359.6
114304,Baby milk powdered,0,9,15,11.9,27.7,0,0,55.6,519.3
114401,Clotted/ Cultured milk,0,9,15,3.4,4.5,0,0,5.5,76.1
114402,Yoghurt,0,9,15,3.8,3.4,0,0,6.7,72.6
114403,Traditional sour milk,0,9,15,3.5,1.6,0,0,4.8,47.6
114501,"Cheese, all types",0,9,15,24.8,29.5,0,0,0.8,367.9
114601,Cream,0,9,15,2.9,13.5,0,0,4.5,151.1
114701,Eggs,0,6,15,12.6,9.5,0,0,0.6,138.3
115101,Butter,0,10,17,0.8,79.6,0,0,0.1,720
115201,Margarine & margarine spreads,0,10,17,0.2,80.7,0,0,0.7,729.9
115202,Peanut butter,0,8,16,22.4,44.5,8.5,0,14.8,566.3
115299,Margarine & margarine spreads,0,10,17,0.2,80.7,0,0,0.7,729.9
115401,Cooking oil,0,10,16,0,100,0,0,0,900
115402,Olive oil,0,10,16,0,100,0,0,0,900
115501,Cooking fats,0,10,17,0,100,0,0,0,900
115502,Omaze ongombe,0,10,17,0.8,79.6,0,0,0.1,720
115503,Komazam & sheep tail fat,0,10,17,0,100,0,0,0,900
115999,Other oils & fats (specify),0,10,17,0,100,0,0,0,900
116101,"Citrus fruits (orange, lemon, etc.)",27,4,8,0.7,0.3,1.7,0,9,44.9
116201,Bananas,36,4,8,1.2,0.2,2,0,22.2,99.4
116301,Apples,10,4,8,0.3,0.2,2.4,0,11.3,53
116401,Pears,0,4,8,0.38,0.12,3.1,0,12.36,58.24
116501,Apricots,0,4,8,1.4,0.39,2,0,9.11,49.55
116502,Avocados,29,4,8,1.6,19.6,4,0,0,190.8
116503,Cherries,0,4,8,1.06,0.2,2.1,0,13.91,65.88
116504,Mangoes,29,4,8,0.4,0.2,2.1,0,17.3,76.8
116505,Plums,0,4,8,0.7,0.28,1.4,0,10.02,48.2
116506,Peaches,12,4,8,1,0.1,1.9,0,9.9,48.3
116601,Strawberries,4,4,8,0.7,0.2,2.5,0,6.2,34.4
116602,Mulberries,1,4,8,1.6,0.2,2.2,0,5.6,35
116603,Figs,0,4,8,0.75,0.3,2.9,0,16.28,76.62
116604,Grapes/ Omandjebere (fresh),0,4,8,0.7,0.1,1.2,0,6.8,33.3
116605,Guavas,22,4,8,1,0.4,5.6,0,9.5,56.8
116606,"Olives, all types",0,10,6,1.03,15.32,3.3,0,0.54,150.76
116607,"Capers, all types",0,4,8,2.36,0.86,3.2,0,1.33,28.9
116701,"Sweet melons, all types",54,4,8,0.6,0.1,0.8,0,5.9,28.5
116702,Watermelons,54,4,8,0.6,0.1,0.8,0,5.9,28.5
116703,Pineapples,49,4,8,0.4,0.2,1.3,0,12,54
116799,Passion fruit,48,4,8,2.4,0.9,11.7,0,8.5,75.1
116801,Eendunga/ Munganda,0,4,8,6.1,55.3,4,0,19.6,608.5
116802,Oombe (bird plum),7,4,8,0.7,0.1,2,0,9.9,47.3
116803,Grapes/ Omandjebere (dry),10,4,8,0.3,0.2,2.4,0,11.3,53
116804,Omauni,27,4,8,0.7,0.3,1.7,0,9,44.9
116805,Omapea,10,4,8,0.3,0.2,2.4,0,11.3,53
116808,Ground nuts/ Eefukwa,0,10,6,20.1,5.9,3.7,0,58.8,376.1
116809,Omahuku,0,12,6,22.4,45.9,8.5,0,14.6,578.1
116810,Peanuts & other snack nuts,0,8,6,22.4,45.9,8.5,0,14.6,578.1
116811,Ekwa/ Mubuyu,28,12,6,2.4,0.6,6.8,0,68.2,301.4
116814,Eenyandi  (Jackalberry),43,4,8,1.6,0.5,0.5,0,25,111.9
116815,Eengungu,0,4,8,9.13,0.09,9.3,0,13.11,108.37
116816,Coconuts,0,8,5,3.33,33.49,9,0,6.22,357.61
116817,Mixed nuts,0,8,5,17.3,51.45,9,0,16.35,615.65
116819,Dried figs,0,4,8,3.3,0.93,9.8,0,54.06,257.41
116820,Dried pears,0,4,8,1.87,0.63,7.5,0,62.2,276.95
116822,Dried dates,0,4,8,2.3,0.3,6.9,0,78.2,338.5
116899,"Dried fruits, other",0,4,8,2.46,0.49,7.8,0,56.25,254.85
116901,Tinned fruits,0,4,8,0.37,0.1,1,0,17.76,75.42
116902,Frozen fruits,0,4,8,1.42,0.18,1.9,0,19.34,88.46
116908,Mixed fruits (fresh),0,4,8,0.37,0.1,1,0,17.76,75.42
116999,Other fruits & nuts (specify),0,4,8,9.13,0.09,9.3,0,13.11,108.37
117101,Lettuce,30,3,7,1,0.2,1.2,0,2.3,17.4
117102,Spinach/ Ombindi/ Derere/ Mutete/ Ekaka,28,3,7,2.8,0.6,2.2,0,1.7,27.8
117103,Celery,0,3,7,0.69,0.17,1.6,0,1.36,12.93
117199,Chives/ Grass onion,0,3,7,1.83,0.19,2.6,0,4.74,33.19
117201,Broccoli,0,3,7,2.82,0.37,2.6,0,4.04,35.97
117202,Cabbage,20,3,7,1.6,0.1,2.6,0,3.7,27.3
117203,Cauliflower,0,3,7,1.92,0.28,2,0,2.97,26.08
117204,Brussels sprout,0,3,7,3.38,0.3,3.8,0,5.15,44.42
117301,Aubergine/ Egg plant,0,3,7,0.01,0.19,3.4,0,3.29,21.71
117302,Beans (fresh),17,8,7,3.1,0.2,2.5,0,5.1,39.6
117303,Cucumber,19,3,7,0.7,0.1,0.7,0,2.5,15.1
117304,Green pepper/ Paprika,17,3,7,0.9,0.2,2,0,4.2,26.2
117305,"Peppers, Chilli, raw",73,3,7,1.9,0.3,2.2,0,7.6,45.1
117306,Mealie/ Corn cob,0,1,7,3.22,1.18,2.7,0,16.32,94.18
117307,Peas,0,8,7,5.42,0.4,5.1,0,9.35,72.88
117308,"Pumpkins baby marrows & squashes, all types",70,3,7,1,0.1,0.8,0,5.5,28.5
117309,Tomatoes,9,3,7,1,0.2,1.4,0,3.3,21.8
117401,Asparagus,0,3,7,2.2,0.12,2.1,0,1.78,21.2
117402,Beetroot,15,2,7,2.17,0.1,3.31,0,6.92,43.88
117403,Carrots,11,3,7,1,0.3,3.1,0,5.7,35.7
117405,Leek,45,3,7,1.7,0.4,3.1,0,9.5,54.6
117406,Onion,9,3,7,1.1,0.1,1.8,0,6.9,36.5
117408,Turnip,0,3,7,4.3,0.5,4.1,0,14.8,89.1
117409,Mushroom,0,3,7,2.24,0.49,2.5,0,4.3,35.57
117501,Beans (dried),0,8,4,22.1,1.5,10.3,0,53.3,335.7
117502,Peas (dried),0,8,4,22.3,5.1,25.2,0,34.4,323.1
117503,Lentils,19,8,4,0.9,0.2,2.5,0,4.4,28
117509,"Dried vegetables, other",0,3,7,24.4,1.9,24.1,0,29.8,282.1
117601,"Tinned/ Pickled vegetables (e.g. cucumbers, onions, garlic, mixed)",0,3,7,0.33,0.2,1.2,0,1.06,9.76
117701,"Potatoes, English",16,2,2,1.9,0.1,1.8,0,16.9,79.7
117801,Sweet potatoes,16,2,2,1.5,0.2,3,0,25.2,114.6
117802,Chips & crisps,0,2,2,4.8,13.6,3.3,0,44.3,325.4
117803,Cassava,0,2,2,1.36,0.28,1.8,0,36.28,156.68
117805,Frozen vegetables,0,3,7,2.86,0.15,4.4,0,8.69,56.35
117908,Mixed vegetables,0,3,7,1.4,0.2,3.1,0,4.21,30.44
117999,Other vegetables & tubers (specify),0,3,7,24.4,1.9,24.1,0,29.8,282.1
118101,Sugar,0,11,3,0,0,0,0,99.99,399.96
118102,Sugar cane,0,11,3,0.1,0.2,0.3,0,8.8,38
118103,Icing sugar,0,11,3,0,0,0,0,99.76,399.04
118109,"Other (sugar weed, etc.)",0,11,3,0.1,0.2,0.3,0,8.8,38
118201,Honey,0,11,3,9,2.7,2.5,0,80.2,386.1
118202,Jam,0,11,3,0.37,0.07,1.1,0,67.76,275.35
118301,Chocolate,0,11,3,3.9,34.2,5.5,0,54.9,554
118401,Sweets,0,11,3,4.6,8.1,0,0,77,399.3
118501,Ice cream,0,9,15,2.9,13.5,0,0,4.5,151.1
118699,Other sweeteners (specify),0,11,3,0,0,0,0,97.11,388.44
119101,Mayonnaise,0,10,16,0,77.8,0,0,0.1,700.6
119102,Tomato Sauces,0,3,7,2.5,0.3,0.5,0,28.22,126.58
119103,Vinegar,0,12,10,0.4,0,0,0,0.7,4.4
119108,Salad dressings,0,12,10,0.9,33.4,0,0,23.9,399.8
119201,Salt,0,12,10,0,0,0,0,0,0
119202,Spices & condiments,0,12,10,6.1,8.7,21.6,0,50.4,347.5
119203,Garlic,13,3,7,6.8,0.4,2.3,0,24.9,135
119204,Ginger,13,3,7,6.8,0.4,2.3,0,24.9,135
119302,Yeast,0,12,10,35.6,1.5,19.7,0,29.9,314.9
119304,Cake essences,0,11,3,0,0,0,0,97.11,388.44
119305,"Custards, puddings, jelly & gelatine",0,11,3,4.41,18.52,0.9,0,36.53,332.24
119306,Ready-made soup,0,3,7,4.6,2.4,0.2,0,5,60.4
119307,Powdered soup,0,3,7,4.05,8.06,0.9,0,45.18,271.26
119401,Ready meade frozen food,0,12,1,4.6,2.4,0.2,0,5,60.4
119599,Other foods (specify),0,12,1,4.6,2.4,0.2,0,5,60.4
121101,Coffee,0,12,9,15.4,0.4,0,0,72.3,354.4
121201,Tea,0,12,9,0.1,0,0,0,0.1,0.8
121301,Chocolate drinks,0,12,9,0.1,0,0,0,0.1,0.8
121999,Other infusions (specify),0,12,9,0.1,0,0,0,0.1,0.8
122101,Mineral water & ice cubes blocks,0,12,18,0,0,0,0,0,0
122201,Soft drinks,0,12,18,0.7,0.2,0.1,0,9.7,43.6
122299,"Other non-alcoholic drinks (Energade, Powerade) (specify)",0,12,18,0.7,0.2,0.1,0,9.7,43.6
122301,Fruit juice & squashes,0,4,18,0.7,0.2,0.1,0,9.7,43.6
122302,Mageu/Oshikundu,0,1,18,1.2,0.1,0.5,0,10.5,48.7
122399,Other powdered drinks (specify),0,12,18,0.7,0.2,0.1,0,9.7,43.6
211104,"Local home-made distilled drinks, all types (ombike, kashipembe)",0,12,10,0.5,0,0.1,3,2.2,32
211106,Whisky,0,12,19,0,0,0,0,0,0
212101,Wines,0,12,10,0.4,0,0,3.8,1.9,35.8
212201,Wines,0,12,10,0.4,0,0,3.8,1.9,35.8
212299,"Marunga palm, Wine",0,12,10,0.4,0,0,3.8,1.9,35.8
212999,Other alcoholic beverages (specify),0,12,10,0.7,0,0.1,3,4.9,43.6
213101,Beer/ Ales/ Ciders,0,12,10,0.3,0,0,4.4,1.3,37.2
213199,"Local home-made brew, all types (tombo, epwaka, shafuluka)",0,12,10,0.5,0,0.1,3,2.2,32
