Food item code in Household Survey (item_cod),Food item description in Household Survey (desc),Reference Food Composition Table (FCT),Food code in FCT,Food description in FCT,Food Item Index Matching (Read the text in the comment of this cell),Refuse factor (refuse),Item Group (item_grp),Water (grams),Ash (grams),Protein (grams) (fd_pro),Total Fat (grams) (fd_fat),Total Fiber (grams) (fd_fib),Alcohol (grams) (fd_alc),Carbohydrates including fiber (Total) (grams),Available Carbohydrates by difference (grams) (fd_car),Calories (Kcal),Computed calories (Kcal) (fd_kcal)
1167.03,Pineapples,WAFCT,05_018,"Pineapple, Pulp, Raw",,0.49,,85.8,0.3,0.4,0.2,1.3,0,12,12,54,54
1167.99,Passion fruit,KFCT,5025,"Passion fruit, dark purple skin, raw",,0.48,,75.7,0.8,2.4,0.9,11.7,0,8.7,8.5,75,75.1
1168.01,Eendunga/ Munganda,West African FCT,06_029,"Palm nut kernel, shelled, raw",C2,0,,13.5,1.5,6.1,55.3,4,0,19.6,19.6,609,608.5
1168.02,Oombe (bird plum),Kenya NCT,06_029,"Plum nut kernel, shelled, raw",C2,0.07,,86.9,0.4,0.7,0.1,2,0,9.9,9.9,47,47.3
1168.02,Oombe,KFCT,6029,"plum nut kernel, shelled, raw",,0.07,,86.9,0.4,0.7,0.1,2,0,9.9,9.9,47,47.3
1168.03,Grapes/ Omandjebere (dry),WAFCT,05_026,"Apple, with skin, raw",,0.1,,85.6,0.2,0.3,0.2,2.4,0,11.3,11.3,53,53
1168.04,Omauni,WAFCT,05_016,"Orange, raw",,0.27,,87.8,0.5,0.7,0.3,1.7,0,9,9,45,44.9
1168.05,Omapea,WAFCT,05_026,"Apple, with skin, raw",,0.1,,85.6,0.2,0.3,0.2,2.4,0,11.3,11.3,53,53
1168.08,Ground nuts/ Eefukwa,WAFCT,03_001,"Bambara groundnut, dried, raw ",,0,,8.4,3.1,20.1,5.9,3.7,0,0,58.8,376,376.1
1168.09,Omahuku,WAFCT,06_010,"Groundnut, shelled, dried, raw",,0,,6.3,2.3,22.4,45.9,8.5,0,14.6,14.6,578,578.1
1168.1,Peanuts & other snack nuts,WAFCT,06_010,"Groundnut, shelled, dried, raw",,0,,6.3,2.3,22.4,45.9,8.5,0,14.6,14.6,578,578.1
1168.1,Peanuts & other snack nuts,WAFCT,06_010,"Groundnut, shelled, dried, raw",,0,,6.3,2.3,22.4,45.9,8.5,0,14.6,14.6,578,578.1
1168.11,Ekwa/ Mubuyu,WAFCT,05_004,"Baobab, Fruit, Monkey bread, Pulp, Raw",,0.28,,17.7,4.3,2.4,0.6,6.8,0,60.2,68.2,302,301.4
1168.14,Eenyandi (Jackalberry),USDA,12635,"MIXED NUTS,DRY RSTD,W/PNUTS,W/SALT",,0,,66.93,1.44,9.13,0.09,9.3,0,13.11,13.11,124,108.37
1168.14,Eenyandi, WAFCT,05_019,Enyandi(jackalBerry),,0.43,,71.4,1,1.6,0.5,0.5,0,25.5,25,110,111.9
1168.15,Eengungu,USDA,12635,"MIXED NUTS,DRY RSTD,W/PNUTS,W/SALT",,0,,66.93,1.44,9.13,0.09,9.3,0,13.11,13.11,124,108.37
1168.16,Coconuts,USDA,12104,"Coconut meat, raw",,0,,46.99,0.97,3.33,33.49,9,0,15.23,6.22,354,357.61
1168.17,Mixed nuts,USDA,12135,"Mxd nuts, dry rstd, w/pnuts, wo/salt",,0,,1.75,4.15,17.3,51.45,9,0,25.35,16.35,594,615.65
1168.19,Dried figs,USDA,9094,"Figs,dried,uncooked",,0,,30.05,1.86,3.3,0.93,9.8,0,63.87,54.06,249,257.41
1168.2,Dried pears,USDA,9259,"Pears, dried, sulfured, unckd",,0,,26.69,1.11,1.87,0.63,7.5,0,69.7,62.2,262,276.95
1168.22,Dried dates,WAFCT,05_031,"Dates, dried",,0,,10.7,1.6,2.3,0.3,6.9,0,70.1,78.2,307,338.5
1168.99,"Dried fruits, other",USDA,9188,"Fruit, MXD, Prune, Apricot & Pear, Dried",,0,,31.18,1.82,2.46,0.49,7.8,0,64.06,56.25,243,254.85
1169.01,Tinned fruits,USDA,9187,"Fruit,MXD,(Peach &Pear, PNA, PPL,), CND,HVY Syrup, SOL and Liquids",,0,,80.56,0.21,0.37,0.1,1,0,18.76,17.76,72,75.42
1169.02,Frozen fruits,USDA,9189,"Fruit,mxd, (pch, cher-swt & sr, raspb, grape,boys), frz, swtned",,0,,73.73,3.43,1.42,0.18,1.9,0,24.23,19.34,98,88.46
1169.08,Mixed fruits (fresh),USDA,9187,"Fruit,MXD,(Peach &Pear, PNA, PPL,), CND,HVY Syrup, SOL and Liquids",,0,,80.56,0.21,0.37,0.1,1,0,18.76,17.76,72,75.42
1169.99,Other fruits & nuts (specify),USDA,12635,"MIXED NUTS,DRY RSTD,W/PNUTS,W/SALT",,0,,66.93,1.44,9.13,0.09,9.3,0,13.11,13.11,124,108.37
1169.99,Other fruits & nuts (specify),USDA,12635,"Mixed nuts, dry, RSTD,W/pnuts, w/salt",,0,,1.75,4.15,17.3,51.45,9,0,25.35,16.35,594,615.65
1171.01,Lettuce,WAFCT,04_040,"Lettuce, raw",,0.3,,94.5,0.8,1,0.2,1.2,0,2.3,2.3,18,17.4
1171.02,Spinach/ Ombindi/ Derere/ Mutete/ Ekaka,WAFCT,04_057,"Spinach, raw",,0.28,,90.9,1.8,2.8,0.6,2.2,0,1.7,1.7,28,27.8
1171.03,Celery,USDA,11143,"Celery, raw",,0,,95.43,0.75,0.69,0.17,1.6,0,2.97,1.36,16,12.93
1171.99,Chives/ Grass onion,USDA,11291,"Onions, Spring, Scallions(Inc ttops, & Bulb), raw",,0,,89.83,0.81,1.83,0.19,2.6,0,7.34,4.74,32,33.19
1172.01,Broccoli,USDA,11090,"Broccoli, raw",,0,,89.3,0.87,2.82,0.37,2.6,0,6.64,4.04,34,35.97
1172.02,Cabbage,WAFCT,04_005,"Cabbage, raw",,0.2,,91.2,0.8,1.6,0.1,2.6,0,3.7,3.7,28,27.3
1172.03,Cauliflower,USDA,1135,"Cauliflower , raw",,0,,92.07,0.76,1.92,0.28,2,0,4.97,2.97,25,26.08
1172.04,Brussels sprout,USDA,111098,"Brussels sprout, raw",,0,,86,1.37,3.38,0.3,3.8,0,8.95,5.15,43,44.42
1173.01,Aubergine/ Egg plant,USDA,11209,"Egg plant, Raw",,0,,92.41,0.7,0.01,0.19,3.4,0,5.7,3.29,24,21.71
1173.02,Beans (fresh),WAFCT,04_003,"Beans, green raw",,0.17,,87.9,1.2,3.1,0.2,2.5,0,5.1,5.1,40,39.6
1173.03,Cucumber,WAFCT,04_032,"Cucumber, raw",,0.19,,95.5,0.5,0.7,0.1,0.7,0,2.5,2.5,15,15.1
1173.04,Green pepper/ Paprika,WAFCT,04_049,"Pepper, sweet, green, raw",,0.17,,92.2,0.5,0.9,0.2,2,0,4.2,4.2,26,26.2
1173.05,"Peppers, Chilli, raw",WAFCT,04_046,"Peppers, chilli, raw",,0.73,,87.3,0.7,1.9,0.3,2.2,0,7.6,7.6,45,45.1
1173.06,Mealie/ Corn cob,SA_FCT,4130,"Corn, Sweet, White, raw",,0,,75.96,0.62,3.22,1.18,2.7,0,16.32,16.32,86,94.18
1173.07,Peas,USDA,11304,"Peas, green, raw",,0,,78.86,0.87,5.42,0.4,5.1,0,9.35,9.35,81,72.88
1173.08,"Pumpkins baby marrows & squashes, all types",WAFCT,04_051,"Pumpkin, squash, raw",,0.7,,91.9,0.7,1,0.1,0.8,0,5.5,5.5,29,28.5
1173.09,Tomatoes,WAFCT,04_021,"Tomato, red, ripe, raw",,0.09,,93.5,0.6,1,0.2,1.4,0,3.3,3.3,22,21.8
1174.01,Asparagus,USDA,11011,"Asparagus,raw",,0,,93.22,0.58,2.2,0.12,2.1,0,3.88,1.78,20,21.2
1174.02,Beetroot,KFCT,2005,"Beetroot,pealed,raw",,0.15,,86.1,1.4,2.17,0.1,3.31,0,6.9,6.92,44,43.88
1174.03,Carrots,WAFCT,04_006,"Carrot, raw",,0.11,,88.8,1.1,1,0.3,3.1,0,5.7,5.7,35,35.7
1174.05,Leek,KFCT,4021,"Leeks, bulb and stem, raw",,0.45,,84.5,0.8,1.7,0.4,3.1,0,9.5,9.5,54,54.6
1174.06,Onion,WAFCT,04_018,"Onion, raw",,0.09,,89.5,0.6,1.1,0.1,1.8,0,6.9,6.9,37,36.5
1174.08,Turnip,WAFCT,04_068,"Turnip, raw",,0,,73.5,2.8,4.3,0.5,4.1,0,14.8,14.8,89,89.1
1174.09,Mushroom,USDA,11238,"Mushroom, shiitake,raw",,0,,89.74,0.73,2.24,0.49,2.5,0,6.79,4.3,34,35.57
1175.01,Beans (dried),WAFCT,03_022,"Beans, white, dried",,0,,8.9,3.9,22.1,1.5,10.3,0,53.3,53.3,335,335.7
1175.02,Peas (dried),KFCT,3010,"Chick peas, whole, dry, raw",,0,,9.9,3.1,22.3,5.1,25.2,0,34.3,34.4,323,323.1
1175.03,Lentils,WAFCT,03_030,Lentils,,0.19,,91.3,0.7,0.9,0.2,2.5,0,4.4,4.4,28,28
1175.09,"Dried vegetables, other",WAFCT,04_031,"Cowpea leaves, dried",,0,,10.3,9.5,24.4,1.9,24.1,0,29.8,29.8,282,282.1
1176.01,"Tinned/ Pickled vegetables (e.g. cucumbers, onions, garlic, mixed)",USDA,11941,"Picles, cucumbers, sour",,0,,94.08,3.13,0.33,0.2,1.2,0,2.26,1.06,11,9.76
1177.01,"Potatoes, English",WAFCT,02_009,"Potato, raw",,0.16,,77.8,1.5,1.9,0.1,1.8,0,16.9,16.9,80,79.7
1178.01,Sweet potatoes,WAFCT,02_022,"Sweet potato, pale yellow, raw",,0.16,,69.2,0.9,1.5,0.2,3,0,25.2,25.2,115,114.6
1178.02,Chips & crisps,KFCT,15110,"Potato, chips",,0,,32.1,1.9,4.8,13.6,3.3,0,44.4,44.3,326,325.4
1178.03,Cassava,USDA,11134,"Cassava, raw",,0,,59.68,0.6,1.36,0.28,1.8,0,38.06,36.28,160,156.68
1178.05,Frozen vegetables,USDA,11584,"Vegetables, MXD, FRZ, CKD, BLD, DRND,WO/SALT",,0,,83.23,0.67,2.86,0.15,4.4,0,13.09,8.69,65,56.35
1179.08,Mixed vegetables,USDA,43312,"Vegetables,MXD, (Corn, lima, bns, Peas, GRN BNS, CRRT) CND, NOSALT",,0,,90.2,0.89,1.4,0.2,3.1,0,7.31,4.21,37,30.44
1179.99,Other vegetables & tubers (specify),SA_FCT,3781,"Average, other vegetables, boiled",,,,,,,,,,,,,
1181.01,Sugar,WAFCT,13_002,Sugar,,0,,0,0.01,0,0,0,0,99.99,99.99,400,399.96
1181.02,Sugar cane,KFCT,11002,"Sugar cane, juice, raw",,0,,90.2,0.4,0.1,0.2,0.3,0,8.5,8.8,37,38
1181.03,Icing sugar,USDA,19336,"Sugars, powdered",,0,,0.23,0.01,0,0,0,0,99.77,99.76,389,399.04
1181.09,"Other (sugar weed, etc.)", KFCT,11002,"Sugar cane, juice, raw",,0,,90.2,0.4,0.1,0.2,0.3,0,8.5,8.8,37,38
1182.01,Honey,WAFCT,13_001 ,Honey,,0,,2,3.6,9,2.7,2.5,0,80.2,80.2,386,386.1
1182.02,Jam,USDA,19297,JAMS AND PRESERVES,,0,,30.47,0.23,0.37,0.07,1.1,0,,67.76,275,275.35
1183.01,Chocolate,USDA,19081,"CANDIES,SWEET CHOCOLATE",,0,,0.5,1,3.9,34.2,5.5,0,,54.9,550,554
1184.01,Sweets,USDA,19074,"CANDIES,CARAMELS",,0,,8.5,1.8,4.6,8.1,0,0,77,77,382,399.3
1185.01,Ice cream,WAFCT,10_010,"Cream, 13 % fat",,0,,78.5,0.6,2.9,13.5,0,0,4.5,4.5,151,151.1
1186.99,Other sweeteners (specify),USDA,19906,"SWEETENERS,FOR BAKING,BROWN,CONTAINS SUGAR & SUCRALOSE",,0,,2.44,0.45,0,0,,0,97.11,97.11,388,388.44
1191.01,Mayonnaise,USDA,43598,"MAYONNAISE DRSNG,NO CHOL",,0,,21.7,0.4,0,77.8,0,0,0.1,0.1,688,700.6
1191.02,Tomato Sauces,USDA,6973,"SAUCE,TOMATO CHILI SAU,BTLD,NO SALT,LO NA",,0,,68,0.48,2.5,0.3,0.5,0,28.22,28.22,104,126.58
1191.03,Vinegar,WAFCT,13_003,Vinegar,,0,,98.7,0.2,0.4,0,0,0,0.7,0.7,5,4.4
1191.08,Salad dressings,USDA,43599,"SALAD DRSNG,MAYO DRSNG,DIET,NO CHOL",,0,,39.9,1.9,0.9,33.4,0,0,23.9,23.9,390,399.8
1192.01,Salt,SA_FCT,4288,"Salt, table, iodised",,,,,,,,,,,,,
1192.02,Spices & condiments,WFCT,13_016,"Spices, mix, ground",,0,,8.5,4.7,6.1,8.7,21.6,0,50.4,50.4,348,347.5
1192.03,Garlic,WFCT,04_015,"Garlic, raw",,0.13,,64.3,1.3,6.8,0.4,2.3,0,24.9,24.9,135,135
1193.02,Yeast,WFCT,13_017,"Yeast, dried",,0,,5,8.3,35.6,1.5,19.7,0,29.9,29.9,315,314.9
1193.05,"Custards, puddings, jelly & gelatine",USDA,18969,"CREAM PUFF,ECLAIR,CUSTARD OR CRM FILLED,ICED",,0,,38.64,1,4.41,18.52,0.9,0,36.53,36.53,334,332.24
1193.06,Ready-made soup,USDA,6147,"SOUP,BF MUSHROOM,CND,COND",,0,,85.5,2.3,4.6,2.4,0.2,0,5,5,61,60.4
1193.07,Powdered soup,USDA,6147,"SOUP,BF MUSHROOM,CND,COND",,0,,40.6,1.21,4.05,8.06,0.9,0,45.18,45.18,213,271.26
1195.99,Other foods (specify),USDA,6147,"SOUP,BF MUSHROOM,CND,COND",,0,,85.5,2.3,4.6,2.4,0.2,0,5,5,61,60.4
1211.01,Coffee,West African Table ,12_005,"coffee, instant, powder",A,0,,3.1,8.8,15.4,0.4,0,0,72.4,72.3,354,354.4
1212.01,Tea,SA_FCT,4038,"GOLD PEAK TEA, ICED TEA, SWEET TEA",A,0,,99.8,0,0.1,0,0,0,0,0.1,0,0.8
1213.01,Chocolate drinks,West African Table ,12_008,"GOLD PEAK TEA, ICED TEA, SWEET TEA",A,0,,99.8,0,0.1,0,0,0,0,0.1,0,0.8
1219.99,Other infusions (specify),West African Table ,12_008,"GOLD PEAK TEA, ICED TEA, SWEET TEA",A,0,,99.8,0,0.1,0,0,0,0,0.1,0,0.8
1221.01,Mineral water & ice cubes blocks,West African Table ,12_019,"Water, tap",A,0,,100,0.1,0,0,0,0,0,0,0,0
1222.01,Soft drinks,SA_FCT,3981,"Juice, orange, unsweetened",A,0,,88.9,0.4,0.7,0.2,0.1,0,9.8,9.7,44,43.6
1222.99,"Other non-alcoholic drinks (Energade, Powerade) (specify)",SA_FCT,4007,"Juice, orange, unsweetened",A,0,,88.9,0.4,0.7,0.2,0.1,0,9.8,9.7,44,43.6
1223.01,Fruit juice & squashes,West African Table ,12_011,"Juice, orange, unsweetened",A,0,,88.9,0.4,0.7,0.2,0.1,0,9.8,9.7,44,43.6
1223.02,Mageu/Oshikundu,SA_FCT,4410,"Maize meal, super, porridge, soft (white, fortified)",A,,,,,,,,,,,,
1223.99,Other powdered drinks (specify),West African Table ,12_011,"Juice, orange, unsweetened",A,0,,88.9,0.4,0.7,0.2,0.1,0,9.8,9.7,44,43.6
2111.04,"Local home-made distilled drinks, all types (ombike, kashipembe)",West African Table ,12_004,"Beer, sorghum (est. 3% alcohol)",,0,,94,0.2,0.5,0,0.1,3,2.7,2.2,31,32
2121.01,Wines,West African Table ,12_006,Palm wine (est. 3.8 % alcohol),,0,,93.7,0.2,0.4,0,0,3.8,2.5,1.9,34,35.8
2129.99,Other alcoholic beverages (specify),West African Table ,12_003,"Beer, millet (est. 3 % alcohol)",,0,,91,0.3,0.7,0,0.1,3,5.7,4.9,43,43.6
2131.01,Beer/ Ales/ Ciders,West African Table ,12_001,Beer european (4.4 % alcohol),,0,,93.9,0.1,0.3,0,0,4.4,2,1.3,35,37.2
2131.99,"Local home-made brew, all types (tombo, epwaka, shafuluka)",West African Table ,12_004,"Beer, sorghum (est. 3% alcohol)",,0,,94,0.2,0.5,0,0.1,3,2.7,2.2,31,32
