Food_item_code_in_Household_Survey_item_cod,Food_item_description_in_Household_Survey_desc,Reference_Food_Composition_Table_FCT,Food_code_in_FCT,Food_Item_Index_Matching_Read_the_text_in_the_comment_of_this_cell,Refuse_factor_refuse,Item_Group_item_grp,Item_Group_diversity_grp,Food_description_in_FCT,Calcium (milligrams) (calcium),Iron (milligrams) (iron),Zinc (milligrams) (zinc),Folate (micrograms) (folate),Vitamin C (Ascorbic Acid) (milligrams) (vit_c),Vitamin B1 (Thiamine) (milligrams) (vit_b1),Vitamin B2 (Riboflavin) (milligrams) (vit_b2),Retinol (micrograms) (retinol),Betacarotene equivalents (micrograms) (betacar),Vitamin A (micrograms of RAE) (vita_rae),Vitamin B6 (Pyridoxine) (milligrams) (vit_b6),Vitamin B12 (Cobalamine) (micrograms) (vit_b12),Magnesium (milligrams),Phosphorus (milligrams),Potassium (milligrams),Sodium (milligrams),Copper (milligrams),Vitamin D (micrograms),Vitamin E (milligrams),Niacin (milligrams)
1168.04,Omauni,WA_FCT,05_016,,0.27,,,"Orange, raw",31.0,0.2,0.1,33,46.8,0.04,0.03,0,90,8,0.07,0,11,19.0,166,2,0.05,0,0.28,0.2
1168.05,Omapea,WA_FCT,05_026,,0.1,,,"Apple, with skin, raw",6.0,0.1,0.04,3,4.6,0.02,0.03,0,33,3,0.04,0,5,11.0,107,1,0.03,0,0.18,0.1
1168.08,Ground nuts/ Eefukwa,WA_FCT,06_010,,0.0,,,"Groundnut, shelled, dried, raw",47.0,3.9,2.5,110,0,0.87,0.14,0,0,0,0.59,0,191,359.0,727,6,0.86,0,10.9,15.5
1168.09,Omahuku,WA_FCT,06_010,,0.0,,,"Groundnut, shelled, dried, raw",47.0,3.9,2.5,110,0,0.87,0.14,0,0,0,0.59,0,191,359.0,727,6,0.86,0,10.9,15.5
1168.1,Peanuts & other snack nuts,WA_FCT,06_010,,0.0,,,"Groundnut, shelled, dried, raw",47.0,3.9,2.5,110,0,0.87,0.14,0,0,0,0.59,0,191,359.0,727,6,0.86,0,10.9,15.5
1168.11,Ekwa/ Mubuyu,WA_FCT,05_004,,0.28,,,"Baobab, fruit/Monkey bread, pulp, raw",276.0,5.5,3.6,,247,0.37,0.06,0,70,6,0.02,0,91,83.0,1020,,0.7,0,,2.1
1168.13,!nara,USDA_FCT,12635,,0.0,,,"MIXED NUTS,DRY RSTD,W/PNUTS,W/SALT",70,3.7,3.8,50.0,0.4,0.2,0.2,0.0,3,0.0,0.29600000000000004,0.0,225.0,435.0,597.0,669.0,1.2790000000000001,0,,4.7
1168.14,Eenyandi,WA_FCT,05_019,,0.43,,,"Soapberry, fruit, raw",23.0,3.0,,,51.5,0.03,0.04,0,360,30,0,0,2,90.0,,,0.05,0,,0
1168.15,Eengungu,USDA_FCT,12635,,0.0,,,"MIXED NUTS,DRY RSTD,W/PNUTS,W/SALT",70,3.7,3.8,50.0,0.4,0.2,0.2,0.0,3,0.0,0.29600000000000004,0.0,225.0,435.0,597.0,669.0,1.2790000000000001,0,,4.7
1168.16,Coconuts,USDA_FCT,12104,,0.0,,,"COCONUT MEAT,RAW",14,2.43,1.1,26.0,3.3,0.066,0.02,0.0,0,0.0,0.054000000000000006,0.0,32.0,113.0,356.0,20.0,0.435,0,,0.54
1168.17,Mixed nuts,USDA_FCT,12135,,0.0,,,"MIXED NUTS,DRY RSTD,W/PNUTS,WO/SALT",70,3.7,3.8,50.0,0.4,0.2,0.2,0.0,,1.0,0.29600000000000004,0.0,225.0,435.0,597.0,12.0,1.2790000000000001,0,,4.7
1168.19,Dried figs,USDA_FCT,9094,,0.0,,,"FIGS,DRIED,UNCOOKED",162,2.03,0.55,9.0,1.2,0.085,0.08199999999999999,0.0,6,0.0,0.106,0.0,68.0,67.0,680.0,10.0,0.287,0,,0.619
1168.2,Dried pears,USDA_FCT,9259,,0.0,,,"PEARS,DRIED,SULFURED,UNCKD",34,2.1,0.39,0.0,7.0,0.008,0.145,0.0,2,0.0,0.07200000000000001,0.0,33.0,59.0,533.0,6.0,0.371,0,,1.372
1168.22,Dried dates,WA_FCT,05_031,,0.0,,,"Dates, dried",46.0,1.1,0.36,36,3,0.06,0.08,0,7,1,0.2,0,45,56.0,669,4,0.28,0,0.1,1.6
1168.99,"Dried fruits, other",USDA_FCT,9188,,0.0,,,"FRUIT,MXD,(PRUNE&APRICOT&PEAR),DRIED",38,2.71,0.5,4.0,3.8,0.044000000000000004,0.157,0.0,,122.0,0.159,0.0,39.0,77.0,796.0,18.0,0.385,0,,1.927
1169.01,Tinned fruits,USDA_FCT,9187,,0.0,,,"FRUIT,MXD,(PEACH&PEAR&PNAPPL),CND,HVY SYRUP,SOL&LIQUIDS",1,0.36,0.07,3.0,69.0,0.015,0.04,0.0,,10.0,0.036000000000000004,0.0,5.0,10.0,84.0,4.0,0.057999999999999996,0,,0.6
1169.02,Frozen fruits,USDA_FCT,9189,,0.0,,,"FRUIT,MXD,(PCH, CHER-SWT & SR, RASPB, GRAPE, BOYS),FRZ,SWTND",7,0.28,0.05,8.0,75.0,0.017,0.035,0.0,,16.0,0.025,0.0,6.0,12.0,131.0,3.0,0.034,0,,0.397
1169.08,Mixed fruits (fresh),USDA_FCT,9187,,0.0,,,"FRUIT,MXD,(PEACH&PEAR&PNAPPL),CND,HVY SYRUP,SOL&LIQUIDS",1,0.36,0.07,3.0,69.0,0.015,0.04,0.0,,10.0,0.036000000000000004,0.0,5.0,10.0,84.0,4.0,0.057999999999999996,0,,0.6
1169.99,Other fruits & nuts (specify),USDA_FCT,12635,,0.0,,,"MIXED NUTS,DRY RSTD,W/PNUTS,W/SALT",70,3.7,3.8,50.0,0.4,0.2,0.2,0.0,3,0.0,0.29600000000000004,0.0,225.0,435.0,597.0,669.0,1.2790000000000001,0,,4.7
1171.01,Lettuce,WA_FCT,04_040,,0.3,,,"Lettuce, raw",27.0,0.8,0.29,89,5.3,0.06,0.15,0,1120,93,0.2,0,9,28.0,204,10,0.05,0,0.6,0.4
1171.02,Spinach/ Ombindi/ Derere/ Mutete/ Ekaka,WA_FCT,04_057,,0.28,,,"Spinach, raw",133.0,3.1,0.8,176,36,0.08,0.17,0,6040,409,0.19,0,53,45.0,502,87,0.08,0,2.31,0.9
1171.03,Celery,USDA_FCT,11143,,0.0,,,"CELERY,RAW",40,0.2,0.13,36.0,3.1,0.021,0.057,0.0,270,22.0,0.07400000000000001,0.0,11.0,24.0,260.0,80.0,0.035,0,,0.32
1171.99,Chives/ Grass onion,USDA_FCT,11291,,0.0,,,"ONIONS,SPRING OR SCALLIONS (INCL TOPS&BULB),RAW",72,1.48,0.39,64.0,18.8,0.055,0.08,0.0,598,50.0,0.061,0.0,20.0,37.0,276.0,16.0,0.083,0,,0.525
1172.01,Broccoli,USDA_FCT,11090,,0.0,,,"BROCCOLI,RAW",47,0.73,0.41,63.0,89.2,0.071,0.11699999999999999,0.0,361,31.0,0.175,0.0,21.0,66.0,316.0,33.0,0.049,0,,0.639
1172.02,Cabbage,WA_FCT,04_005,,0.2,,,"Cabbage, raw",41.0,0.6,0.2,48,54,0.05,0.04,0,100,8,0.1,0,12,37.0,317,12,0.02,0,0.15,0.3
1172.03,Cauliflower,USDA_FCT,11135,,0.0,,,"CAULIFLOWER,RAW",22,0.42,0.27,57.0,48.2,0.05,0.06,0.0,0,0.0,0.184,0.0,15.0,44.0,299.0,30.0,0.039,0,,0.507
1172.04,Brussels sprout,USDA_FCT,11098,,0.0,,,"BRUSSELS SPROUTS,RAW",42,1.4,0.42,61.0,85.0,0.139,0.09,0.0,450,38.0,0.21899999999999997,0.0,23.0,69.0,389.0,25.0,0.07,0,,0.745
1173.01,Aubergine/ Egg plant,USDA_FCT,11209,,0.0,,,"EGGPLANT,RAW",9,0.24,0.16,22.0,2.2,0.039,0.037000000000000005,0.0,16,1.0,0.084,0.0,14.0,25.0,230.0,2.0,0.08199999999999999,0,,0.649
1173.02,Beans (fresh),WA_FCT,04_003,,0.17,,,"Beans, green raw",47.0,1.1,0.27,62,17.5,0.1,0.1,0,286,24,0.2,0,25,56.0,242,2,0.08,0,0.28,0.7
1173.03,Cucumber,WA_FCT,04_032,,0.19,,,"Cucumber, raw",13.0,0.5,0.17,6,14,0.02,0.01,0,35,3,0.04,0,12,26.0,134,10,0.07,0,0.03,0.3
1173.04,Green pepper/ Paprika,WA_FCT,04_049,,0.17,,,"Pepper, sweet, green, raw",17.0,0.3,0.12,26,112.9,0.08,0.09,0,353,29,0.28,0,9,31.0,239,6,0.07,0,0.7,0.5
1173.05,"Peppers, Chilli, raw",WA_FCT,04_046,,0.73,,,"Peppers, chilli, raw",16.0,1.1,0.29,23,193.1,0.08,0.09,0,640,53,0.39,0,24,43.0,331,8,0.15,0,0.69,1.1
1173.06,Mealie/ Corn cob,USDA_FCT,11900,,0.0,,,"CORN,SWEET,WHITE,RAW",2,0.52,0.45,46.0,6.8,0.2,0.06,0.0,1,0.0,0.055,0.0,37.0,89.0,270.0,15.0,0.054000000000000006,0,,1.7
1173.07,Peas,USDA_FCT,11304,,0.0,,,"PEAS,GREEN,RAW",25,1.47,1.24,65.0,40.0,0.266,0.132,0.0,449,38.0,0.16899999999999998,0.0,33.0,108.0,244.0,5.0,0.17600000000000002,0,,2.09
1173.08,"Pumpkins baby marrows & squashes, all types",WA_FCT,04_051,,0.7,,,"Pumpkin, squash, raw",19.0,1.2,0.32,8,8,0.05,0.02,0,1200,100,0.1,0,14,33.0,280,8,0.13,0,1.06,0.5
1173.09,Tomatoes,WA_FCT,04_021,,0.09,,,"Tomato, red, ripe, raw",13.0,0.6,0.7,21,29.6,0.06,0.04,0,624,52,0.09,0,13,32.0,255,7,0.15,0,0.9,0.6
1174.01,Asparagus,USDA_FCT,11011,,0.0,,,"ASPARAGUS,RAW",24,2.14,0.54,52.0,5.6,0.14300000000000002,0.141,0.0,449,38.0,0.091,0.0,14.0,52.0,202.0,2.0,0.18899999999999997,0,,0.978
1174.02,Beetroot,Kenya_FCT,2005,,0.15,,,"Beet root, peeled, raw",13,0.8,0.55,110,5.3,0.01,0.02,0,10,1,,0,11,36,298,60,,,,0.3
1174.03,Carrots,WA_FCT,04_006,,0.11,,,"Carrot, raw",35.0,0.7,0.26,31,7,0.06,0.05,0,8560,713,0.23,0,12,42.0,266,42,0.06,0,0.47,0.7
1174.05,Leek,Kenya_FCT,4021,,0.45,,,"Leeks, bulb and stem, raw",78,1.8,0.3,64,21,0.14,0,0,242,20,,0,14,54,202,17,,,,0
1174.06,Onion,WA_FCT,04_018,,0.09,,,"Onion, raw",25.0,0.3,0.26,16,10.3,0.05,0.04,0,1,0,0.1,0,10,39.0,183,4,0.04,0,0.04,0.2
1174.08,Turnip,WA_FCT,04_068,,0.0,,,"Turnip, raw ",41.0,0.3,0.22,24,23.7,0.04,0.04,0,36,3,0.08,0,15,35.0,262,44,0.1,0,0,0.8
1174.09,Mushroom,USDA_FCT,11238,,0.0,,,"MUSHROOMS,SHIITAKE,RAW",2,0.41,1.03,13.0,,0.015,0.217,,,,0.293,,20.0,112.0,304.0,9.0,0.142,0.4,,3.877
1175.01,Beans (dried),WA_FCT,03_022,,0.0,,,"Beans, white, dried",74.0,5.7,3.77,395,0,0.89,0.11,0,179,15,0.51,0,186,429.0,1550,18,0.47,0,0.19,1.6
1175.02,Peas (dried),Kenya_FCT,3010,,0.0,,,"Chick peas, whole, dry, raw",235,6.8,3.37,400,8,0.48,0.16,0,175,15,,0,160,284,1030,25,,,,2.1
1175.03,Lentils,WA_FCT,03_030,,0.19,,,"Lentils, dried, raw",61.0,7,3.9,295,0,0.59,0.23,0,42,3,0.68,0,103,391.0,855,9,0.74,0,0.49,2.3
1175.09,"Dried vegetables, other",WA_FCT,04_031,,0.0,,,"Cowpea leaves, dried",1060.0,34,3.35,673,38,1.15,2.35,0,2407,201,1.49,0,401,364.0,2850,40,1.81,0,15.8,10.2
1176.01,"Tinned/ Pickled vegetables (e.g. cucumbers, onions, garlic, mixed)",USDA_FCT,11941,,0.0,,,"PICKLES,CUCUMBER,SOUR",0,0.4,0.02,1.0,1.0,0.0,0.01,0.0,81,10.0,0.009000000000000001,0.0,4.0,14.0,23.0,1208.0,0.085,0,,0
1177.01,"Potatoes, English",WA_FCT,02_009,,0.16,,,"Potato, raw",11.0,0.9,0.35,18,17.3,0.08,0.12,0,14,1,0.27,0,27,50.0,551,7,0.09,0,0.06,1.2
1178.01,Sweet potatoes,WA_FCT,02_022,,0.16,,,"Sweet potato, pale yellow, raw",27.0,1.1,0.39,52,22.3,0.09,0.04,0,39,3,0.27,0,16,51.0,457,20,0.13,0,0.17,0.6
1178.02,Chips & crisps,Kenya_FCT,15110,,0.0,,,Potato Chips,17,2.7,0.63,82,12,0.11,0.07,0,0,0,,0,37,159,1260,13,,,,2.3
1178.03,Cassava,USDA_FCT,11134,,0.0,,,"CASSAVA,RAW",16,0.27,0.34,27.0,20.6,0.087,0.048,0.0,8,1.0,0.08800000000000001,0.0,21.0,27.0,271.0,14.0,0.1,0,,0.854
1178.05,Frozen vegetables,USDA_FCT,11584,,0.0,,,"VEGETABLES,MXD,FRZ,CKD,BLD,DRND,WO/SALT",25,0.82,0.49,19.0,3.2,0.071,0.12,0.0,2082,214.0,0.07400000000000001,0.0,22.0,51.0,169.0,35.0,0.083,0,,0.851
1179.08,Mixed vegetables,USDA_FCT,43312,,0.0,,,"VEGETABLES,MXD (CORN,LIMA BNS,PEAS,GRN BNS,CRRT) CND,NO SALT",21,0.65,0.51,18.0,3.8,0.03,0.04,0.0,5670,583.0,0.08,0.0,15.0,37.0,138.0,26.0,0.10400000000000001,0,,0.48
1179.99,Other vegetables & tubers (specify),SA_FCT,3781,,,,,"Average, other vegetables, boiled",23,0.8,0.29,18,7,0.06,0.03,,,12,0.085,0.0,18,38,226,19,0.12,0.00,,0.5
1181.01,Sugar,WA_FCT,13_002,,0.0,,,Sugar,1.0,0.1,0.01,0,0,0,0.02,0,0,0,0,0,0,0.0,2,1,0.01,0,0,0
1181.02,Sugar cane,Kenya_FCT,11002,,0.0,,,"Sugarcane, Juice, Raw  ",10,1.1,0.14,45,6.7,0.03,0.04,0,10.34,1,,0,13,22,150,1,,,,0.1
1181.03,Icing sugar,USDA_FCT,19336,,0.0,,,"SUGARS,POWDERED",1,0.06,0.01,0.0,0.0,0.0,0.019,0.0,0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.006999999999999999,0,,0
1181.09,"Other (sugar weed, etc.)",Kenya_FCT,11002,,0.0,,,"Sugarcane, Juice, Raw  ",10,1.1,0.14,45,6.7,0.03,0.04,0,10.34,1,,0,13,22,150,1,,,,0.1
1182.01,Honey,WA_FCT,13_001,,0.0,,,Honey,9.0,0.5,0.22,2,0.5,0,0.04,0,0,0,0.02,0,2,4.0,52,4,0.04,0,0,0.2
1182.02,Jam,USDA_FCT,19297,,0.0,,,JAMS AND PRESERVES,20,0.49,0.06,11.0,8.8,0.016,0.076,0.0,0,0.0,0.02,0.0,4.0,19.0,77.0,32.0,0.1,0,,0.036
1183.01,Chocolate,USDA_FCT,19081,,0.0,,,"CANDIES,SWEET CHOCOLATE",24,2.76,1.5,3.0,0.0,0.02,0.24,0.0,0,0.0,0.043,0.0,113.0,147.0,290.0,16.0,0.574,0,,0.67
1184.01,Sweets,USDA_FCT,19074,,0.0,,,"CANDIES,CARAMELS",138,0.14,0.44,4.0,0.4,0.10300000000000001,0.256,11.0,2,12.0,0.055999999999999994,0.3,17.0,114.0,214.0,245.0,0.018000000000000002,0,,0.148
1185.01,Ice cream,WA_FCT,10_010,,0.0,,,"Cream, 13 % fat",104.0,0.04,0.37,12,1,0.04,0.19,115,59,120,0.05,0.4,11,79.0,136,39,0.01,0.2,0.34,0.1
1186.01,Syrup,USDA_FCT,19113,,0.0,,,"SYRUPS,TABLE BLENDS,PANCAKE,W/BUTTER",2,0.09,0.04,0.0,0.0,0.011000000000000001,0.009000000000000001,13.0,,14.0,0.0,0.0,2.0,10.0,3.0,98.0,0.209,,,0.02
1186.99,Other sweeteners (specify),USDA_FCT,19906,,0.0,,,"SWEETENERS,FOR BAKING,BROWN,CONTAINS SUGAR & SUCRALOSE",63,1.64,0.08,,,0.015,0.015,,,,0.04,,10.0,2.0,130.0,11.0,0.083,,,0.08
1191.01,Mayonnaise,USDA_FCT,43598,,0.0,,,"MAYONNAISE DRSNG,NO CHOL",7,0.23,0.13,0.0,0.0,0.01,0.06,0.0,0,0.0,0.01,0.0,1.0,25.0,14.0,486.0,0.0,0,,0.01
1191.02,Tomato Sauces,USDA_FCT,6973,,0.0,,,"SAUCE,TOMATO CHILI SAU,BTLD,NO SALT,LO NA",20,0.8,0.16,10.0,16.0,0.09,0.07,0.0,119,10.0,0.16,0.0,12.0,52.0,370.0,20.0,0.13,0,,1.6
1191.03,Vinegar,WA_FCT,13_003,,0.0,,,Vinegar,12.0,0.5,0.01,0,0,0,0,0,0,0,0,0,21,29.0,90,20,0.01,0,0,0
1191.04,Chilli sauce,USDA_FCT,22911,,0.0,,,"CHILI,NO BNS,CND ENTREE",30,2.01,1.12,,1.8,0.031,0.111,,,,0.129,1.02,20.0,77.0,185.0,389.0,0.188,,,1.245
1191.05,Chutney,FAFH,nan,,0.0,,,,,,,,,,,,,,,,,,,,,,,
1191.06,Garlic sauce,USDA_FCT,13019,,0.15,,,"BEEF,RTL CUTS,FAT,RAW",26,0.72,0.82,0.0,0.0,0.03,0.037000000000000005,0.0,0,0.0,0.10800000000000001,0.73,5.0,61.0,96.0,26.0,0.027999999999999997,0.3,,1.437
1191.07,Mustard sauce,USDA_FCT,2046,,0.0,,,"MUSTARD,PREPARED,YELLOW",58,1.51,0.64,7.0,1.5,0.34299999999999997,0.03,0.0,29,4.0,0.063,0.0,49.0,106.0,138.0,1135.0,0.085,0,,0.523
1191.08,Salad dressings,USDA_FCT,43599,,0.0,,,"SALAD DRSNG,MAYO DRSNG,DIET,NO CHOL",14,0.2,0.18,0.0,0.0,0.013000000000000001,0.024,12.0,94,21.0,0.017,0.21,2.0,26.0,9.0,711.0,0.01,0,,0.004
1191.09,Soy sauce,USDA_FCT,16123,,0.0,,,SOY SAU MADE FROM SOY&WHEAT (SHOYU),19,1.93,0.52,14.0,0.0,0.033,0.165,0.0,0,0.0,0.14800000000000002,0.0,43.0,125.0,217.0,5637.0,0.10400000000000001,0,,2.196
1191.1,Worcestershire sauce,USDA_FCT,6971,,0.0,,,"SAUCE,WORCESTERSHIRE",107,5.3,0.19,8.0,13.0,0.07,0.13,1.0,43,5.0,0.0,0.0,13.0,60.0,800.0,980.0,0.2,0,,0.7
1192.01,Salt,SA_FCT,4288,,,,,"Salt, table, iodised",92,2.0,0.10,0,0,00.0,00.0,,,0,0.000,0.0,92,8,0,38850,0.1,0.00,,0.0
1192.02,Spices & condiments,WA_FCT,13_016,,0.0,,,"Spices, mix, ground",661.0,7.1,1.01,36,39.2,0.1,0.06,0,324,27,0.21,0,135,113.0,1040,77,0.55,0,,2.9
1192.03,Garlic,WA_FCT,04_015,,0.13,,,"Garlic, raw",32.0,1.6,0.79,0.45,0.3,0.17,0.06,0,0,0,0.17,1.2,21,158.0,533,11,0.15,0,0.01,1.9
1192.04,Ginger,Kenya_FCT,13020,,0.15,,,"Ginger, dried, ground",152,24.3,3.72,88,29,0.16,0.27,0,965,80,,0,335,310,1225,50,,,,3.5
1193.01,Baking powder,USDA_FCT,18372,,0.0,,,"LEAVENING AGENTS,BAKING SODA",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,27360.0,0.0,0,,0
1193.02,Yeast,WA_FCT,13_017,,0.0,,,"Yeast, dried",80.0,20,8,4000,0,2.33,4,0,0,0,2,0,230,1290.0,2000,50,5.0,0,0,36
1193.03,Bottled baby food,FAFH,43523,,0.0,,,,,,,,,,,,,,,,,,,,,,,
1193.04,Cake essences,FAFH,nan,,0.0,,,,,,,,,,,,,,,,,,,,,,,
1193.05,"Custards, puddings, jelly & gelatine",USDA_FCT,18969,,0.0,,,"CREAM PUFF,ECLAIR,CUSTARD OR CRM FILLED,ICED",35,0.95,0.45,66.0,0.0,0.263,0.24100000000000002,22.0,1,23.0,0.040999999999999995,0.17,10.0,71.0,68.0,265.0,0.06,0.3,,1.908
1193.06,Ready-made soup,USDA_FCT,6147,,0.0,,,"SOUP,BF MUSHROOM,CND,COND",4,0.7,1.1,7.0,0.0,0.02,0.06,0.0,,0.0,0.04,0.16,7.0,29.0,126.0,709.0,0.2,,,0.9
1193.07,Powdered soup,USDA_FCT,6147,,0.0,,,"SOUP,BF MUSHROOM,CND,COND",4,0.7,1.1,7.0,0.0,0.02,0.06,0.0,,0.0,0.04,0.16,7.0,29.0,126.0,709.0,0.2,,,0.9
1194.01,Ready-made frozen food,USDA_FCT,21226,,0.0,,,"PIZZA,MEAT & VEG TOPPING,REG CRUST,FRZ,CKD",152,1.36,1.71,34.0,3.4,0.21600000000000003,0.233,58.0,88,65.0,0.149,0.62,25.0,181.0,209.0,555.0,0.17,0,,2.379
1195.99,Other foods (specify),Kenya_FCT,15025,,,,,Meat Samosa,51,11.5,2.99,222*,7.4,0.47,0.42,48,223,66,,1.19,37,288,302,175,,,,5.1
1211.01,Coffee,WA_FCT,12_005,A,0.0,,,"Coffee, instant, powder",146.0,4.4,0.73,2,0,0.02,0.08,0,0,0,0.03,0,324,303.0,3640,38,0.38,0,0,28.2
1212.01,Tea,WA_FCT,12_008,A,0.0,,,"Tea, infusion",7.0,0.2,0.08,14,40.6,0.03,0.01,0,7,1,0.05,0,6,8.0,129,1,0.04,0,0.08,0.1
1213.01,Chocolate drinks,WA_FCT,12_008,A,0.0,,,"Tea, infusion",7.0,0.2,0.08,14,40.6,0.03,0.01,0,7,1,0.05,0,6,8.0,129,1,0.04,0,0.08,0.1
1219.99,Other infusions (specify),WA_FCT,12_008,A,0.0,,,"Tea, infusion",7.0,0.2,0.08,14,40.6,0.03,0.01,0,7,1,0.05,0,6,8.0,129,1,0.04,0,0.08,0.1
1221.01,Mineral water & ice cubes blocks,WA_FCT,12_019,A,0.0,,,"Water, tap",1.0,0,0.01,0,0,0,0,0,0,0,0,0,2,0.0,1,3,0.01,0,0,0
1222.01,Soft drinks,USDA_FCT,14148,,0.0,,,"CARBONATED BEV,COLA,W/HIGHER CAFFEINE",2,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,11.0,3.0,4.0,0.0,0,,0
1222.99,"Other non-alcoholic drinks (Energade, Powerade) (specify)",USDA_FCT,14599,,0.0,,,"SPORTS DRK,POWERADE ZERO ION4,CALORIE-FREE,ASSORTED FLAVORS",2,0.05,0.01,0.0,2.5,0.011000000000000001,0.0,0.0,0,0.0,0.055999999999999994,0.17,1.0,0.0,10.0,42.0,0.006,0,,0.845
1223.01,Fruit juice & squashes,WA_FCT,12_011,A,0.0,,,"Juice, orange, unsweetened",12.0,0.3,0.05,34,42.7,0.08,0.03,0,100,8,0.06,0,11,16.0,186,1,0.05,0,0.2,0.3
1223.02,Mageu/Oshikundu,WA_FCT,01_017,A,,,,"Pearl millet, whole grain, raw (with bran)",14.0,7.6,2.83,30,0,0.32,0.27,0,3,0,0.74,0,97,207.0,401,19,0.45,0,0.07,2.4
1223.99,Other powdered drinks (specify),WA_FCT,12_011,A,0.0,,,"Juice, orange, unsweetened",12.0,0.3,0.05,34,42.7,0.08,0.03,0,100,8,0.06,0,11,16.0,186,1,0.05,0,0.2,0.3
2111.01,Brandies,FAFH,nan,,0.0,,,,,,,,,,,,,,,,,,,,,,,
2111.03,White Spirits,FAFH,nan,,0.0,,,,,,,,,,,,,,,,,,,,,,,
2111.04,"Local home-made distilled drinks, all types (ombike, kashipembe)",WA_FCT,12_004,,0.0,,,"Beer, sorghum (est. 3% alcohol)",8.0,0.2,0.14,,0,0.02,0.04,0,0,0,,0,14,25.0,31,2,0.02,0,0,0.3
2111.05,Liqueurs,FAFH,nan,,0.0,,,,,,,,,,,,,,,,,,,,,,,
2111.06,Whisky,FAFH,nan,,0.0,,,,,,,,,,,,,,,,,,,,,,,
2121.01,Wines,WA_FCT,12_006,,0.0,,,Palm wine (est. 3.8 % alcohol),2.0,0.5,,,4,0.03,0.01,0,0,0,,0,9,5.0,,,0.01,0,,0.3
2122.01,Wines,FAFH,nan,,0.0,,,,,,,,,,,,,,,,,,,,,,,
2122.99,"Marunga palm, Wine",FAFH,nan,,0.0,,,,,,,,,,,,,,,,,,,,,,,
2129.99,Other alcoholic beverages (specify),FAFH,nan,,,,,,,,,,,,,,,,,,,,,,,,,
2131.01,Beer/ Ales/ Ciders,WA_FCT,12_001,,0.0,,,Beer european (4.4 % alcohol),8.0,0.1,0.01,5,0,0,0.03,0,0,0,0.07,0,7,14.0,32,6,0.01,0,0,0.7
2131.99,"Local home-made brew, all types (tombo, epwaka, shafuluka)",WA_FCT,12_004,,0.0,,,"Beer, sorghum (est. 3% alcohol)",8.0,0.2,0.14,,0,0.02,0.04,0,0,0,,0,14,25.0,31,2,0.02,0,0,0.3
