Food_item_code_in_Household_Survey_item_cod,Food_item_description_in_Household_Survey_desc,Reference_Food_Composition_Table_FCT,Food_code_in_FCT,Food_Item_Index_Matching_Read_the_text_in_the_comment_of_this_cell,Refuse_factor_refuse,Item_Group_item_grp,Item_Group_diversity_grp,Food_description_in_FCT,Calcium (milligrams) (calcium),Iron (milligrams) (iron),Magnesium (milligrams),Phosphorus (milligrams),Potassium (milligrams),Sodium (milligrams),Zinc (milligrams) (zinc),Copper (milligrams),Vitamin A (micrograms of RAE) (vita_rae),Retinol (micrograms) (retinol),Betacarotene equivalents (micrograms) (betacar),Vitamin D (micrograms),Vitamin E (milligrams),Vitamin B1 (Thiamine) (milligrams) (vit_b1),Vitamin B2 (Riboflavin) (milligrams) (vit_b2),Niacin (milligrams),Vitamin B6 (Pyridoxine) (milligrams) (vit_b6),Folate (micrograms) (folate),Vitamin B12 (Cobalamine) (micrograms) (vit_b12),Vitamin C (Ascorbic Acid) (milligrams) (vit_c),Selenium (micrograms)
1165.06,Peaches,Kenya_FCT,5027,,0.12,,,"Peach, yellow-fleshed, unpeeled, raw",5,0.3,8,20,203,2,0.11,,13,0,157,,,0.01,0.03,0.8,,0,0,8,1
1166.01,Strawberries,Kenya_FCT,5034,,0.04,,,"Strawberry, raw",19,0.6,8,27,158,3,0.18,,0,0,1,,,0.03,0.02,0.1,,39,0,49,1
1166.02,Mulberries,Kenya_FCT,5021,,0.01,,,"Mulberry, raw",55,1.2,19,40,310,6,0.2,,1,0,10,,,0.03,0.07,0.7,,33,0,11,1
1167.99,Passion fruit,Kenya_FCT,5025,,0.48,,,"Passion fruit, dark purple skin, raw",10,0.6,28,68,200,19,0.8,,64,0,764,,,0.03,0.14,2.5,,7,0,29,1
1174.02,Beetroot,Kenya_FCT,2005,,0.15,,,"Beet root, peeled, raw",13,0.8,11,36,298,60,0.55,,1,0,10,,,0.01,0.02,0.3,,110,0,5.3,0
1174.05,Leek,Kenya_FCT,4021,,0.45,,,"Leeks, bulb and stem, raw",78,1.8,14,54,202,17,0.3,,20,0,242,,,0.14,0,0,,64,0,21,1
1175.02,Peas (dried),Kenya_FCT,3010,,0.0,,,"Chick peas, whole, dry, raw",235,6.8,160,284,1030,25,3.37,,15,0,175,,,0.48,0.16,2.1,,400,0,8,41
1178.02,Chips & crisps,Kenya_FCT,15110,,0.0,,,Potato Chips,17,2.7,37,159,1260,13,0.63,,0,0,0,,,0.11,0.07,2.3,,82,0,12,1
1181.02,Sugar cane,Kenya_FCT,11002,,0.0,,,"Sugarcane, Juice, Raw  ",10,1.1,13,22,150,1,0.14,,1,0,10.34,,,0.03,0.04,0.1,,45,0,6.7,0
1181.09,"Other (sugar weed, etc.)",Kenya_FCT,11002,,0.0,,,"Sugarcane, Juice, Raw  ",10,1.1,13,22,150,1,0.14,,1,0,10.34,,,0.03,0.04,0.1,,45,0,6.7,0
1195.99,Other foods (specify),Kenya_FCT,15025,,,,,Meat Samosa,51,11.5,37,288,302,175,2.99,,66,48,223,,,0.47,0.42,5.1,,222*,1.19,7.4,13
1192.04,Ginger,Kenya_FCT,13020,,0.15,,,"Ginger, dried, ground",152,24.3,335,310,1225,50,3.72,,80,0,965,,,0.16,0.27,3.5,,88,0,29,55
1111.02,Malt/ Mealie Rice,USDA_FCT,8083,,0.0,,,"CEREALS RTE,MALT-O-MEAL,CORN BURSTS",5,6.56,4.0,19.0,59.0,871.0,5.7,0.09,872.0,865.0,60,3.5,,2.83,3.06,38.5,4.7,443.0,5.75,60.5,
1114.02,Pies & pizzas,USDA_FCT,18946,,0.0,,,"PIE CRUST,REFR,REG,BKD",12,1.15,9.0,52.0,83.0,472.0,0.22,0.051,,,,,,0.14,0.037000000000000005,1.285,0.02,32.0,0.0,,
1115.01,Breakfast cereals (all types),USDA_FCT,8023,,0.0,,,"CEREALS RTE,KELLOGG,KELLOGG'S CRACKLIN' OAT BRAN",60,3.7,155.0,397.0,450.0,309.0,3.1,0.4,459.0,459.0,0,2,,0.8,0.9,10.2,1.0,204.0,3.1,31.0,
1115.02,"Baby foods, cereals",USDA_FCT,42285,,0.0,,,"BABYFOOD,CRL,BROWN RICE,DRY,INST",55,47.6,28.0,272.0,386.0,9.0,0.0,0.368,0.0,0.0,0,0,,0.93,0.17,16,0.98,15.0,0.0,0.0,
1124.02,"Birds, other than chicken",USDA_FCT,5306,,0.0,,,"Poultry food products, ground turkey, cooked",28,1.52,30.0,254.0,294.0,78.0,3.11,0.151,24.0,24.0,0,0.2,,0.077,0.21100000000000002,8.724,0.633,7.0,1.34,0.0,
1125.02,Ham,USDA_FCT,7027,,0.0,,,"HAM,CHOPPED,NOT CANNED",7,0.83,16.0,155.0,319.0,1330.0,1.94,0.06,0.0,0.0,0,0.7,,0.632,0.204,3.88,0.35,1.0,0.92,0.0,
1125.05,Polony,USDA_FCT,7027,,0.0,,,"HAM,CHOPPED,NOT CANNED",7,0.83,16.0,155.0,319.0,1330.0,1.94,0.06,0.0,0.0,0,0.7,,0.632,0.204,3.88,0.35,1.0,0.92,0.0,
1127.01,Game/ Iguana,USDA_FCT,17164,,0.0,,,"GAME MEAT,DEER,RAW",5,3.4,23.0,202.0,318.0,51.0,2.09,0.253,0.0,0.0,0,,,0.22,0.48,6.37,0.37,4.0,6.31,0.0,
1127.02,Dog,USDA_FCT,17170,,0.0,,,"GAME MEAT,HORSE,RAW",6,3.82,24.0,221.0,360.0,53.0,2.9,0.14400000000000002,0.0,0.0,,,,0.13,0.1,4.6,0.38,,3.0,1.0,
1127.03,Donkey,USDA_FCT,17170,,0.0,,,"GAME MEAT,HORSE,RAW",6,3.82,24.0,221.0,360.0,53.0,2.9,0.14400000000000002,0.0,0.0,,,,0.13,0.1,4.6,0.38,,3.0,1.0,
1127.04,Tortoise,USDA_FCT,17170,,0.0,,,"GAME MEAT,HORSE,RAW",6,3.82,24.0,221.0,360.0,53.0,2.9,0.14400000000000002,0.0,0.0,,,,0.13,0.1,4.6,0.38,,3.0,1.0,
1132.01,"Cray fish, all types",USDA_FCT,15145,,0.0,,,"CRAYFISH,MXD SP,WILD,RAW",27,0.84,27.0,256.0,302.0,58.0,1.3,0.419,16.0,16.0,0,0,,0.07,0.032,2.208,0.10800000000000001,37.0,2.0,1.2,
1132.02,"Snails, crabs",USDA_FCT,15227,,0.0,,,"CRAB,QUEEN,CKD,MOIST HEAT",33,2.88,63.0,128.0,200.0,691.0,3.59,0.621,52.0,52.0,,,,0.09699999999999999,0.244,2.885,0.17300000000000001,42.0,10.38,7.2,
1132.03,Frogs,USDA_FCT,80200,,0.0,,,"FROG LEGS,RAW",18,1.5,20.0,147.0,285.0,58.0,1.0,0.25,15.0,15.0,0,0.2,,0.14,0.25,1.2,0.12,15.0,0.4,0.0,
1133.01,Smoked fish,USDA_FCT,15035,,0.0,,,"HADDOCK,SMOKED",49,1.4,54.0,251.0,415.0,763.0,0.5,0.042,24.0,24.0,0,0.8,,0.047,0.049,5.073,0.4,15.0,1.6,0.0,
1133.03,Dried fish,USDA_FCT,35165,,0.0,,,"FISH,WHITEFISH,DRIED (ALASKA NATIVE)",810,4.1,85.0,1040.0,1080.0,200.0,5.0,0.18,39.0,39.0,0,,,0.053,0.43799999999999994,11.2,0.365,11.0,18.4,0.0,
1139.99,Other amphibians (specify),USDA_FCT,80200,,0.0,,,"FROG LEGS,RAW",18,1.5,20.0,147.0,285.0,58.0,1.0,0.25,15.0,15.0,0,0.2,,0.14,0.25,1.2,0.12,15.0,0.4,0.0,
1155.03,Komazam & sheep tail fat,USDA_FCT,4609,,0.0,,,"ANIMAL FAT,BACON GREASE",0,0.0,0.0,0.0,0.0,150.0,0.11,0.0,0.0,0.0,0,2.5,,0.0,0.0,0,0.0,0.0,0.0,0.0,
1159.99,Other oils & fats (specify),USDA_FCT,4609,,0.0,,,"ANIMAL FAT,BACON GREASE",0,0.0,0.0,0.0,0.0,150.0,0.11,0.0,0.0,0.0,0,2.5,,0.0,0.0,0,0.0,0.0,0.0,0.0,
1164.01,Pears,USDA_FCT,9252,,0.0,,,"PEARS,RAW",9,0.17,7.0,11.0,119.0,1.0,0.1,0.08199999999999999,1.0,0.0,13,0,,0.012,0.025,0.157,0.027999999999999997,7.0,0.0,4.2,
1165.01,Apricots,USDA_FCT,9021,,0.0,,,"APRICOTS,RAW",13,0.39,10.0,23.0,259.0,1.0,0.2,0.078,96.0,0.0,1094,0,,0.03,0.04,0.6,0.054000000000000006,9.0,0.0,10.0,
1165.03,Cherries,USDA_FCT,9070,,0.0,,,"CHERRIES,SWEET,RAW",13,0.36,11.0,21.0,222.0,0.0,0.07,0.06,3.0,0.0,38,0,,0.027000000000000003,0.033,0.154,0.049,4.0,0.0,7.0,
1165.05,Plums,USDA_FCT,9279,,0.0,,,"PLUMS,RAW",6,0.17,7.0,16.0,157.0,0.0,0.1,0.057,17.0,0.0,190,0,,0.027999999999999997,0.026000000000000002,0.417,0.028999999999999998,5.0,0.0,9.5,
1166.03,Figs,USDA_FCT,9089,,0.0,,,"FIGS,RAW",35,0.37,17.0,14.0,232.0,1.0,0.15,0.07,7.0,0.0,85,0,,0.06,0.05,0.4,0.113,6.0,0.0,2.0,
1166.06,"Olives, all types",USDA_FCT,9195,,0.0,,,"OLIVES,PICKLED,CND OR BTLD,GRN",52,0.49,11.0,4.0,42.0,1556.0,0.04,0.12,20.0,0.0,231,0,,0.021,0.006999999999999999,0.237,0.031,3.0,0.0,0.0,
1166.07,"Capers, all types",USDA_FCT,2054,,0.0,,,"CAPERS,CANNED",40,1.67,33.0,10.0,40.0,2964.0,0.32,0.374,7.0,0.0,83,0,,0.018000000000000002,0.139,0.652,0.023,23.0,0.0,4.3,
1168.13,!nara,USDA_FCT,12635,,0.0,,,"MIXED NUTS,DRY RSTD,W/PNUTS,W/SALT",70,3.7,225.0,435.0,597.0,669.0,3.8,1.2790000000000001,0.0,0.0,3,0,,0.2,0.2,4.7,0.29600000000000004,50.0,0.0,0.4,
1168.15,Eengungu,USDA_FCT,12635,,0.0,,,"MIXED NUTS,DRY RSTD,W/PNUTS,W/SALT",70,3.7,225.0,435.0,597.0,669.0,3.8,1.2790000000000001,0.0,0.0,3,0,,0.2,0.2,4.7,0.29600000000000004,50.0,0.0,0.4,
1168.16,Coconuts,USDA_FCT,12104,,0.0,,,"COCONUT MEAT,RAW",14,2.43,32.0,113.0,356.0,20.0,1.1,0.435,0.0,0.0,0,0,,0.066,0.02,0.54,0.054000000000000006,26.0,0.0,3.3,
1168.17,Mixed nuts,USDA_FCT,12135,,0.0,,,"MIXED NUTS,DRY RSTD,W/PNUTS,WO/SALT",70,3.7,225.0,435.0,597.0,12.0,3.8,1.2790000000000001,1.0,0.0,,0,,0.2,0.2,4.7,0.29600000000000004,50.0,0.0,0.4,
1168.19,Dried figs,USDA_FCT,9094,,0.0,,,"FIGS,DRIED,UNCOOKED",162,2.03,68.0,67.0,680.0,10.0,0.55,0.287,0.0,0.0,6,0,,0.085,0.08199999999999999,0.619,0.106,9.0,0.0,1.2,
1168.2,Dried pears,USDA_FCT,9259,,0.0,,,"PEARS,DRIED,SULFURED,UNCKD",34,2.1,33.0,59.0,533.0,6.0,0.39,0.371,0.0,0.0,2,0,,0.008,0.145,1.372,0.07200000000000001,0.0,0.0,7.0,
1168.99,"Dried fruits, other",USDA_FCT,9188,,0.0,,,"FRUIT,MXD,(PRUNE&APRICOT&PEAR),DRIED",38,2.71,39.0,77.0,796.0,18.0,0.5,0.385,122.0,0.0,,0,,0.044000000000000004,0.157,1.927,0.159,4.0,0.0,3.8,
1169.01,Tinned fruits,USDA_FCT,9187,,0.0,,,"FRUIT,MXD,(PEACH&PEAR&PNAPPL),CND,HVY SYRUP,SOL&LIQUIDS",1,0.36,5.0,10.0,84.0,4.0,0.07,0.057999999999999996,10.0,0.0,,0,,0.015,0.04,0.6,0.036000000000000004,3.0,0.0,69.0,
1169.02,Frozen fruits,USDA_FCT,9189,,0.0,,,"FRUIT,MXD,(PCH, CHER-SWT & SR, RASPB, GRAPE, BOYS),FRZ,SWTND",7,0.28,6.0,12.0,131.0,3.0,0.05,0.034,16.0,0.0,,0,,0.017,0.035,0.397,0.025,8.0,0.0,75.0,
1169.08,Mixed fruits (fresh),USDA_FCT,9187,,0.0,,,"FRUIT,MXD,(PEACH&PEAR&PNAPPL),CND,HVY SYRUP,SOL&LIQUIDS",1,0.36,5.0,10.0,84.0,4.0,0.07,0.057999999999999996,10.0,0.0,,0,,0.015,0.04,0.6,0.036000000000000004,3.0,0.0,69.0,
1169.99,Other fruits & nuts (specify),USDA_FCT,12635,,0.0,,,"MIXED NUTS,DRY RSTD,W/PNUTS,W/SALT",70,3.7,225.0,435.0,597.0,669.0,3.8,1.2790000000000001,0.0,0.0,3,0,,0.2,0.2,4.7,0.29600000000000004,50.0,0.0,0.4,
1171.03,Celery,USDA_FCT,11143,,0.0,,,"CELERY,RAW",40,0.2,11.0,24.0,260.0,80.0,0.13,0.035,22.0,0.0,270,0,,0.021,0.057,0.32,0.07400000000000001,36.0,0.0,3.1,
1171.99,Chives/ Grass onion,USDA_FCT,11291,,0.0,,,"ONIONS,SPRING OR SCALLIONS (INCL TOPS&BULB),RAW",72,1.48,20.0,37.0,276.0,16.0,0.39,0.083,50.0,0.0,598,0,,0.055,0.08,0.525,0.061,64.0,0.0,18.8,
1172.01,Broccoli,USDA_FCT,11090,,0.0,,,"BROCCOLI,RAW",47,0.73,21.0,66.0,316.0,33.0,0.41,0.049,31.0,0.0,361,0,,0.071,0.11699999999999999,0.639,0.175,63.0,0.0,89.2,
1172.03,Cauliflower,USDA_FCT,11135,,0.0,,,"CAULIFLOWER,RAW",22,0.42,15.0,44.0,299.0,30.0,0.27,0.039,0.0,0.0,0,0,,0.05,0.06,0.507,0.184,57.0,0.0,48.2,
1172.04,Brussels sprout,USDA_FCT,11098,,0.0,,,"BRUSSELS SPROUTS,RAW",42,1.4,23.0,69.0,389.0,25.0,0.42,0.07,38.0,0.0,450,0,,0.139,0.09,0.745,0.21899999999999997,61.0,0.0,85.0,
1173.01,Aubergine/ Egg plant,USDA_FCT,11209,,0.0,,,"EGGPLANT,RAW",9,0.24,14.0,25.0,230.0,2.0,0.16,0.08199999999999999,1.0,0.0,16,0,,0.039,0.037000000000000005,0.649,0.084,22.0,0.0,2.2,
1173.06,Mealie/ Corn cob,USDA_FCT,11900,,0.0,,,"CORN,SWEET,WHITE,RAW",2,0.52,37.0,89.0,270.0,15.0,0.45,0.054000000000000006,0.0,0.0,1,0,,0.2,0.06,1.7,0.055,46.0,0.0,6.8,
1173.07,Peas,USDA_FCT,11304,,0.0,,,"PEAS,GREEN,RAW",25,1.47,33.0,108.0,244.0,5.0,1.24,0.17600000000000002,38.0,0.0,449,0,,0.266,0.132,2.09,0.16899999999999998,65.0,0.0,40.0,
1174.01,Asparagus,USDA_FCT,11011,,0.0,,,"ASPARAGUS,RAW",24,2.14,14.0,52.0,202.0,2.0,0.54,0.18899999999999997,38.0,0.0,449,0,,0.14300000000000002,0.141,0.978,0.091,52.0,0.0,5.6,
1174.09,Mushroom,USDA_FCT,11238,,0.0,,,"MUSHROOMS,SHIITAKE,RAW",2,0.41,20.0,112.0,304.0,9.0,1.03,0.142,,,,0.4,,0.015,0.217,3.877,0.293,13.0,,,
1176.01,"Tinned/ Pickled vegetables (e.g. cucumbers, onions, garlic, mixed)",USDA_FCT,11941,,0.0,,,"PICKLES,CUCUMBER,SOUR",0,0.4,4.0,14.0,23.0,1208.0,0.02,0.085,10.0,0.0,81,0,,0.0,0.01,0,0.009000000000000001,1.0,0.0,1.0,
1178.03,Cassava,USDA_FCT,11134,,0.0,,,"CASSAVA,RAW",16,0.27,21.0,27.0,271.0,14.0,0.34,0.1,1.0,0.0,8,0,,0.087,0.048,0.854,0.08800000000000001,27.0,0.0,20.6,
1178.05,Frozen vegetables,USDA_FCT,11584,,0.0,,,"VEGETABLES,MXD,FRZ,CKD,BLD,DRND,WO/SALT",25,0.82,22.0,51.0,169.0,35.0,0.49,0.083,214.0,0.0,2082,0,,0.071,0.12,0.851,0.07400000000000001,19.0,0.0,3.2,
1179.08,Mixed vegetables,USDA_FCT,43312,,0.0,,,"VEGETABLES,MXD (CORN,LIMA BNS,PEAS,GRN BNS,CRRT) CND,NO SALT",21,0.65,15.0,37.0,138.0,26.0,0.51,0.10400000000000001,583.0,0.0,5670,0,,0.03,0.04,0.48,0.08,18.0,0.0,3.8,
1181.03,Icing sugar,USDA_FCT,19336,,0.0,,,"SUGARS,POWDERED",1,0.06,0.0,0.0,2.0,2.0,0.01,0.006999999999999999,0.0,0.0,0,0,,0.0,0.019,0,0.0,0.0,0.0,0.0,
1182.02,Jam,USDA_FCT,19297,,0.0,,,JAMS AND PRESERVES,20,0.49,4.0,19.0,77.0,32.0,0.06,0.1,0.0,0.0,0,0,,0.016,0.076,0.036,0.02,11.0,0.0,8.8,
1183.01,Chocolate,USDA_FCT,19081,,0.0,,,"CANDIES,SWEET CHOCOLATE",24,2.76,113.0,147.0,290.0,16.0,1.5,0.574,0.0,0.0,0,0,,0.02,0.24,0.67,0.043,3.0,0.0,0.0,
1184.01,Sweets,USDA_FCT,19074,,0.0,,,"CANDIES,CARAMELS",138,0.14,17.0,114.0,214.0,245.0,0.44,0.018000000000000002,12.0,11.0,2,0,,0.10300000000000001,0.256,0.148,0.055999999999999994,4.0,0.3,0.4,
1186.01,Syrup,USDA_FCT,19113,,0.0,,,"SYRUPS,TABLE BLENDS,PANCAKE,W/BUTTER",2,0.09,2.0,10.0,3.0,98.0,0.04,0.209,14.0,13.0,,,,0.011000000000000001,0.009000000000000001,0.02,0.0,0.0,0.0,0.0,
1186.99,Other sweeteners (specify),USDA_FCT,19906,,0.0,,,"SWEETENERS,FOR BAKING,BROWN,CONTAINS SUGAR & SUCRALOSE",63,1.64,10.0,2.0,130.0,11.0,0.08,0.083,,,,,,0.015,0.015,0.08,0.04,,,,
1191.01,Mayonnaise,USDA_FCT,43598,,0.0,,,"MAYONNAISE DRSNG,NO CHOL",7,0.23,1.0,25.0,14.0,486.0,0.13,0.0,0.0,0.0,0,0,,0.01,0.06,0.01,0.01,0.0,0.0,0.0,
1191.02,Tomato Sauces,USDA_FCT,6973,,0.0,,,"SAUCE,TOMATO CHILI SAU,BTLD,NO SALT,LO NA",20,0.8,12.0,52.0,370.0,20.0,0.16,0.13,10.0,0.0,119,0,,0.09,0.07,1.6,0.16,10.0,0.0,16.0,
1191.08,Salad dressings,USDA_FCT,43599,,0.0,,,"SALAD DRSNG,MAYO DRSNG,DIET,NO CHOL",14,0.2,2.0,26.0,9.0,711.0,0.18,0.01,21.0,12.0,94,0,,0.013000000000000001,0.024,0.004,0.017,0.0,0.21,0.0,
1193.05,"Custards, puddings, jelly & gelatine",USDA_FCT,18969,,0.0,,,"CREAM PUFF,ECLAIR,CUSTARD OR CRM FILLED,ICED",35,0.95,10.0,71.0,68.0,265.0,0.45,0.06,23.0,22.0,1,0.3,,0.263,0.24100000000000002,1.908,0.040999999999999995,66.0,0.17,0.0,
1193.06,Ready-made soup,USDA_FCT,6147,,0.0,,,"SOUP,BF MUSHROOM,CND,COND",4,0.7,7.0,29.0,126.0,709.0,1.1,0.2,0.0,0.0,,,,0.02,0.06,0.9,0.04,7.0,0.16,0.0,
1193.07,Powdered soup,USDA_FCT,6147,,0.0,,,"SOUP,BF MUSHROOM,CND,COND",4,0.7,7.0,29.0,126.0,709.0,1.1,0.2,0.0,0.0,,,,0.02,0.06,0.9,0.04,7.0,0.16,0.0,
1222.01,Soft drinks,USDA_FCT,14148,,0.0,,,"CARBONATED BEV,COLA,W/HIGHER CAFFEINE",2,0.02,0.0,11.0,3.0,4.0,0.01,0.0,0.0,0.0,0,0,,0.0,0.0,0,0.0,0.0,0.0,0.0,
1222.99,"Other non-alcoholic drinks (Energade, Powerade) (specify)",USDA_FCT,14599,,0.0,,,"SPORTS DRK,POWERADE ZERO ION4,CALORIE-FREE,ASSORTED FLAVORS",2,0.05,1.0,0.0,10.0,42.0,0.01,0.006,0.0,0.0,0,0,,0.011000000000000001,0.0,0.845,0.055999999999999994,0.0,0.17,2.5,
1194.01,Ready-made frozen food,USDA_FCT,21226,,0.0,,,"PIZZA,MEAT & VEG TOPPING,REG CRUST,FRZ,CKD",152,1.36,25.0,181.0,209.0,555.0,1.71,0.17,65.0,58.0,88,0,,0.21600000000000003,0.233,2.379,0.149,34.0,0.62,3.4,
1193.01,Baking powder,USDA_FCT,18372,,0.0,,,"LEAVENING AGENTS,BAKING SODA",0,0.0,0.0,0.0,0.0,27360.0,0.0,0.0,0.0,0.0,0,0,,0.0,0.0,0,0.0,0.0,0.0,0.0,
1191.04,Chilli sauce,USDA_FCT,22911,,0.0,,,"CHILI,NO BNS,CND ENTREE",30,2.01,20.0,77.0,185.0,389.0,1.12,0.188,,,,,,0.031,0.111,1.245,0.129,,1.02,1.8,
1191.06,Garlic sauce,USDA_FCT,13019,,0.15,,,"BEEF,RTL CUTS,FAT,RAW",26,0.72,5.0,61.0,96.0,26.0,0.82,0.027999999999999997,0.0,0.0,0,0.3,,0.03,0.037000000000000005,1.437,0.10800000000000001,0.0,0.73,0.0,
1191.07,Mustard sauce,USDA_FCT,2046,,0.0,,,"MUSTARD,PREPARED,YELLOW",58,1.51,49.0,106.0,138.0,1135.0,0.64,0.085,4.0,0.0,29,0,,0.34299999999999997,0.03,0.523,0.063,7.0,0.0,1.5,
1191.09,Soy sauce,USDA_FCT,16123,,0.0,,,SOY SAU MADE FROM SOY&WHEAT (SHOYU),19,1.93,43.0,125.0,217.0,5637.0,0.52,0.10400000000000001,0.0,0.0,0,0,,0.033,0.165,2.196,0.14800000000000002,14.0,0.0,0.0,
1191.1,Worcestershire sauce,USDA_FCT,6971,,0.0,,,"SAUCE,WORCESTERSHIRE",107,5.3,13.0,60.0,800.0,980.0,0.19,0.2,5.0,1.0,43,0,,0.07,0.13,0.7,0.0,8.0,0.0,13.0,
1112.01,"Bread (white, brown, whole wheat, rye, maize, etc.)",SA_FCT,3210,,0.0,,,"Bread/Rolls, white (fortified)",16,3.6,43,96,214,653,2.15,0.15,109,,,0.00,,0.30,0.09,6.0,1.730,80,0.0,0,
1112.02,Brotchen,SA_FCT,3215,,0.0,,,"Rusk, home-made, buttermilk, white (HM)",212,1.0,13,352,114,1124,0.53,0.07,187,,,1.84,,0.07,0.09,0.4,0.038,28,0.2,0,
1112.03,"Biscuits, rusks",SA_FCT,3210,,0.0,,,"Bread/Rolls, white (fortified)",16,3.6,43,96,214,653,2.15,0.15,109,,,0.00,,0.30,0.09,6.0,1.730,80,0.0,0,
1112.04,Vetkoek,SA_FCT,3257,,,,,"Vetkoek, home-made (cake ﬂour, water)",16,1.2,10,87,79,27,0.59,0.1,14,,,1.67,,0.08,0.10,0.4,0.027,20,0.4,0,
1112.09,"Traditional bread, ash bread, oshikwiila, oshima, omungome",SA_FCT,3285,,,,,"Bread/Rolls, white, high protein",82,1.6,29,107,154,513,1.20,0.2,-,,,-,,0.11,0.05,1.1,-,-,-,-,
1114.01,Cakes (all types),SA_FCT,3288,,,,,"Cake, butter, plain, home-made",36,0.8,9,74,81,238,0.44,0.07,106,,,1.80,,0.06,0.10,0.2,0.025,13,0.4,0,
1115.03,Bread/ cake flour (all types),SA_FCT,4416,,,,,"Wheat ﬂour, brown bread ﬂour (fortiﬁed)",7,3.4,55,141,222,7,2.11,0.19,190,,,-,,0.82,0.23,8.0,0.552,499,0.0,-,
1115.04,Maize meal/ grain/ samp,SA_FCT,4409,,,,,"Maize meal, sifted, raw",12,3.2,98,90,197,4,2.98,0.16,196,,,0.00,,0.68,0.23,4.6,0.750,225,0.0,tr,
1119.01,Other bread & cereals (specify),SA_FCT,3239,,,,,"Oats, rolled or oatmeal, cooked",8,0.7,24,77,57,2,0.50,0.06,2,,,0.00,,0.12,0.02,0.1,0.019,5,0.0,0,
1154.01,Cooking oil,SA_FCT,3486,,,,,"Vegetable oil (50% sunflower,",0,0.0,0,0,0,0,0.00,0.0,2,,,0.00,,0.00,0.00,0.0,0.000,0,0.0,0,
1179.99,Other vegetables & tubers (specify),SA_FCT,3781,,,,,"Average, other vegetables, boiled",23,0.8,18,38,226,19,0.29,0.12,12,,,0.00,,0.06,0.03,0.5,0.085,18,0.0,7,
1192.01,Salt,SA_FCT,4288,,,,,"Salt, table, iodised",92,2.0,92,8,0,38850,0.10,0.1,0,,,0.00,,00.0,00.0,0.0,0.000,0,0.0,0,
2129.99,Other alcoholic beverages (specify),FAFH,nan,,,,,,,,,,,,,,,,,,,,,,,,,,
2111.01,Brandies,FAFH,nan,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2111.03,White Spirits,FAFH,nan,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2111.05,Liqueurs,FAFH,nan,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2111.06,Whisky,FAFH,nan,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2122.01,Wines,FAFH,nan,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2122.99,"Marunga palm, Wine",FAFH,nan,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
1193.03,Bottled baby food,FAFH,43523,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
1193.04,Cake essences,FAFH,nan,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
1191.05,Chutney,FAFH,nan,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
